Year,01,02,03,04,05,06,07,08,09,10,11,12
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76,63.1,52.6,41.8
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81,75.5,62.6,46.5,43.5
2019,37.2,42.2,46.8,62.4,71,76.4,82.1,80.1,76.5,64.1,46.1,42.1
2020,42.4,43.8,53.2,55.3,63.8,77,83.9,79.6,70.2,61.9,54.3,41.4
2021,38.6,37.8,51.2,58.2,66.1,76.6,80.9,80.9,73.2,66.3,47.9,47.6
