Year,01,02,03,04,05,06,07,08,09,10,11,12
2016,2.68,3.79,1.16,2.05,5.65,3.68,3.13,2.79,2.5,0.9,0.76,2.61
2017,2.75,0.68,3.19,2.62,5.55,1.13,9.15,4.58,1.43,2.02,2,0.5
2018,0.94,4.79,1.92,3.59,8.73,5.21,9.73,5.19,9.73,3.06,7.57,5.82
2019,3.3,3.52,4,2.24,4.97,4.27,6.49,1.99,0.25,6.66,1.37,3.28
2020,2.79,3.21,2.31,6.3,2.49,3.51,6.51,8.73,5.53,4.86,6.14,4.96
2021,1.93,4.66,3.8,2.2,3.77,5.51,4.24,9.07,4.03,3.27,0.98,0.63
